tagname,body
"erlang","Erlang is a general-purpose, garbage-collected programming language and runtime environment, with built-in support for concurrency, distribution and fault tolerance. "
"go","Go, also called golang, is a programming language initially developed at Google. It is a statically-typed language with syntax loosely derived from that of C, adding automatic memory management, type safety, some dynamic-typing capabilities, additional built-in types such as variable-length arrays and key-value maps, and a large standard library."
"timezone","A time zone is a region on Earth that has a uniform, legally mandated standard time."
"scrolling","Shifting the contents of the viewport up/down (vertical scrolling) or left/right (horizontal scrolling)."
"android-activity","Questions about creating or managing Activities in Android. In Android Applications, an Activity is a Component that provides a user interface allowing the user to do something. Simple examples are: dial the phone, take a photo, send an email, or view a map."
"mocking","Mocking and faking are ways to isolate code or components to ensure that unit tests run against the testable unit of code only without actually utilizing other components or dependencies of an application. Mocking differs from faking in that a mock can be inspected to assert the results of a test."
"jni","The Java Native Interface (JNI) gives both the ability for JVM implementations to run system native code, and the ability for native code to run Java code (by creating new JVM instances). The most common target languages for JNI are C and C++, for which at least the Sun/Oracle JDK implementations provide helper commands (javap, javah)."
"jquery-animate","Refers to jquery's animate() method. For generic graphical animations, see the animation tag."
"redis","Redis is an open source, advanced key-value store. It is often referred to as a data structure server since keys can contain strings, hashes, lists, sets and sorted sets."
"openssl","OpenSSL is an open source software toolkit that implements the SSL/TLS protocol, as well as a general cryptographic library."
"udp","User Datagram Protocol is one of the messaging protocols of the IP protocol stack.  With UDP, computer applications can send messages to other hosts on an Internet Protocol (IP) network without requiring prior communications to set up special transmission channels or data paths. "
"machine-learning","Machine learning provides computer algorithms that automatically discover patterns in data and make intelligent decisions from them."
"apache2","Apache (HTTP Server) /əˈpætʃiː/ is a modular cross-platform web server software with a large variety of features(called modules) including SSL, compression, log, proxy and server-side programming language interfaces like Perl, Python, Tcl, and PHP."
"position","Position refers to the location of an element relative to its container, typically on the horizontal and vertical axes."
"char","Char typically refers to a character data-type, representing letters of text."
"xmlhttprequest","XHR (also known as XMLHttpRequest) is a JavaScript object, which is designed to communicate with servers. It is an object that initializes the Ajax request in JavaScript. This object is used to send requests to, and receive responses from, a server asynchronously (i.e. in the background without forcing a page reload)."
"playframework-2.0","Play Framework 2.0 is a major revision of Play, a Ruby on Rails-like framework for the Java platform. Version 2.0 introduces features such as the use of Scala language, Akka actors, Scala templates and a build system (SBT)."
"copy","To copy is to create a duplicate of an object without destroying the original. Commonly seen in text editors that will let you copy some text and paste it somewhere else."
"meteor","Meteor is a modular platform for developing client/server applications in pure JavaScript."
"jasper-reports","JasperReports, an open source Java reporting tool, can be used in all Java applications from desktop to web applications. JasperReports exports a variety of formats (including PDF, HTML, Microsoft Excel, ODT, comma-separated value, XML, and more)."
"cursor","A cursor is a control structure for traversing records in a database. Also a moving placement or pointer that indicates a position in a computer screen."
"hashmap","A data structure that uses a hash function to map identifying values, known as keys, to their associated values"
"installation","The process of installation is the deployment of an application onto a device for future execution and use."
"gdb","GDB is the standard debugger for the GNU software system."
"ldap","Lightweight Directory Access Protocol, an application protocol for reading and editing directories over an IP network."
"laravel-4","Laravel 4.1 is the current version of the open-source PHP web development framework created by Taylor Otwell. Laravel helps you create applications using simple, expressive syntax."
"timeout","The timeout term refers to a predefined period of time allowed to elapse before an event is to occur. Timeout may also refer to an event that takes place after a specified period of time elapses."
"make","The tool called make is a build manager which compares the last modification times of various files and performs user specified actions (commands) when the ""target"" files are found to be older than their dependencies. Canonically it is used to build programs, but it can be used to manage any process that depends on the modification dates of files"
"filesystems","A file system is a way of organizing data on a computer system. Typically a file system consists of files, folders (normally a special kind of file) and an API that can be used for interacting with files."
"django-admin","Django's built-in, automatic admin interface. (django.contrib.admin)"
"g++","g++ is the C++ frontend to the GNU Compiler Collection (gcc). "
"radio-button","Radio buttons are elements used in forms. They let a user select exactly one of a limited number of choices."
"sqlalchemy","SQLAlchemy is a Python SQL toolkit and Object Relational Mapper that gives application developers the full power and flexibility of SQL."
"symfony1","The first version of symfony, a full stack MVC framework for PHP 5."
"tinymce","TinyMCE is a platform independent web-based JavaScript HTML WYSIWYG editor control released as open source under LGPL by Moxiecode Systems AB. Use this tag for questions regarding the usage of TinyMCE and its integration into CMS and other web based applications."
"sms","Short Message Service (SMS) is the standardized text communication service component of phone, web or mobile communication systems that allow the exchange of short text messages between fixed line or mobile phone devices."
"youtube-api","The YouTube APIs and Tools enable the integration of YouTube's video content and functionality into a website, application, or device."
"fancybox","FancyBox is a tool that offers a nice and elegant way to add zooming functionality for images, html content and multi-media on your webpages."
"selenium-webdriver","Selenium-Webdriver provides an API to control and communicate with web browsers."
"user","A user is an agent, either a human agent (end-user) or software agent, who uses a computer or network service."
"uikit","UIKit is the object-oriented framework that is responsible for most of the iOS user interface."
"locking","Locking allows different types of resources to be used exclusively by one process at a time."
"microsoft-metro","Metro (now ""Microsoft Design Language"") was an internal code name for a typography-based user interface design language created by Microsoft. It is featured prominently in Windows Phone 7 and Windows 8."
"android-actionbar","The ActionBar is Android's window feature that identifies the application and user location, and provides user actions and navigation modes."
"integer","An integer is a whole number that can be negative, positive, or zero. (i.e. ...-2, -1, 0, 1, 2...) Use this tag for questions about using, storing, or manipulating integers."
"statistics","Consider whether your question would be better at http://statistics.stackexchange.com. Statistics is the mathematical study of using probability to infer characteristics of a population from a limited number of samples or observations."
"storyboard","Is a class used by WPF and Silverlight to control animations, or a new iOS 5 scheme for managing view controller navigation"
"jframe","A JFrame is a component and top-level container of the JFC/Swing framework."
"log4j","log4j is a popular Java-based logging utility. It is a project of the Apache Software Foundation and is licensed under The Apache Software License, Version 2.0"
"refactoring","Refactoring is a disciplined technique for restructuring an existing body of code, altering its internal structure without changing its external behavior."
"cassandra","Cassandra is a highly scalable, eventually consistent, distributed, structured row/column store."
"segmentation-fault","Segmentation faults occur when accessing memory which does not belong to your process. They are typically the result of an incorrect use of pointers or a buffer overflow."
"request","A request is a message sent by a source to another object."
"dataset","A dataset is a collection of data, generally represented in tabular form, with columns signifying different variables and rows signify different members of the set."
"installer","A computer program responsible for installing other computer programs (aka software) on a system."
"icons","An icon is a small pictogram used in graphical user interfaces to supplement the presentation of textual information to the user."
"firefox-addon","A Firefox add-on is a way of adding to or modifying the Firefox web browser. Most commonly, questions in this tag are about Firefox extensions, which add new functionality to the browser, although ""add-on"" may also refer to themes or plugins."
"foreign-keys","A foreign key is a field in a relational table that matches a candidate key of another table. The foreign key can be used to cross-reference tables."
"flex4","Flex 4 is an Apache (previously Adobe) Framework used to build RIA for Flash Player."
"wpf-controls","WPF controls include UserControls, which are composite collections of other controls, and CustomControls, which are controls built with WPF styles and templates."
"sencha-touch","Sencha Touch is a multi mobile device javascript library based on HTML5 and the Model, View, Controller pattern.  It is a product of Sencha Inc."
"webserver","A software application that services requests from clients using the Hypertext Transfer Protocol."
"push-notification","Push notifications are alerts, badges, or sounds which are pushed to a mobile device from a remote server.

Apple delivers push notifications via the Apple Push Notification Service (APNS). Android devices receive push notifications via the Google Cloud Messaging (GCM) service. In the past, Android devices used the Cloud to Device Messaging (C2DM) framework. Windows Phone apps receive push notifications via the Microsoft Push Notification Service (MPNS)."
"prolog","Prolog is the most commonly used logic programming language. It supports non-deterministic programming through backtracking and pattern matching through unification."
"initialization","Initialization deals with the (often dreaded) task of initializing the contents of your data structure. It's a common practice in statically-typed languages."
"programming-languages","A programming language is an artificial language designed to express computations that can be performed by a machine, particularly a computer."
"command","A command is a directive to a computer program acting as an interpreter of some kind, in order to perform a specific task. Most commonly a command is a directive to some kind of command line interface, such as a shell."
"zend-framework2","Zend Framework 2 is a PHP 5.3+ MVC framework and component library."
"css-float","Positioning elements to the left or right of their containers using the CSS float attribute."
"gtk","GTK+ is a highly usable, feature-rich toolkit for creating graphical user interfaces (GUIs) that boasts cross platform compatibility and an easy to use API."
"internet-explorer-9","Windows Internet Explorer 9 (abbreviated as IE9) is a web browser developed by Microsoft, released on 14 March 2011.  It is available for Windows Vista SP2 and above, Windows Phone 7.1–7.8, and the Xbox 360. It was replaced by IE10 on Windows 8, Windows Server 2012 and Windows Phone 8."
"find","This tag has multiple meanings.  Please DO NOT use this tag if you're just trying to find something."
"escaping","Escaping is the process of applying an alternate meaning to a character or set of characters."
"imageview","Displays an arbitrary image, such as an icon."
"socket.io","Socket.IO aims to make realtime apps possible in every browser and mobile device, blurring the differences between the different transport mechanisms. It supports multiple transports, such as WebSockets, Flash sockets, long polling and more, automatically falling back when a transport fails."
"interface-builder","Interface Builder is a visual design tool used to create user interfaces for Apple's Mac OS X and iOS platforms."
"nsmutablearray","NSMutableArray represents a modifiable (mutable) array object for Cocoa and Cocoa Touch."
"flask","Flask is a microframework for Python based on Werkzeug, Jinja 2 and good intentions."
"oauth-2.0","OAuth (Open Authorization) is an open protocol to allow secure API authorization in a simple and standard method from desktop and web applications.

OAuth 2.0 is the second version of the OAuth protocol."
"format","It may refer to Text formatting, Content format, File format, Document file format, etc."
"dependencies","A dependency exists between two elements if changes to the definition of one element may cause changes to the other."
"unity3d","Unity3D is a commercial development platform for creating games, interactive 3D applications, training simulations, and medical and architectural visualizations."
"httpwebrequest","HttpWebRequest is a class for .NET Framework applications that provides a HTTP-specific implementation of the WebRequest class."
"location","Location is a specific position in physical space, e.g. a point on the surface of the Earth described using latitude and longitude coordinates.
This tag should NOT be used for questions related to the position of a virtual element e.g. position of a pixel on a bitmap or position of a layout element on UI (use [position] tag in that cases)."
"neo4j","Neo4j is an open-source, transactional graph database well suitable for connected data. You can use it for a variety of use-cases directly from all JVM languages or via other language drivers via the HTTP-APIs. "
"focus","Focus indicates the component of the graphical user interface which is currently selected to receive input."
"windows-phone","Windows Phone is Microsoft's mobile operating system and software development platform."
"uitextfield","A UITextField object is a control that displays editable text and sends an action message to a target object when the user presses the return button. You typically use this class to gather small amounts of text from the user and perform some immediate action, such as a search operation, based on that text. "
"drupal-6","Drupal 6 is the Drupal version released on February 13, 2008. Rather than using this tag, consider posting your question directly on http://drupal.stackexchange.com/."
"gmail","Gmail is a webmail service offered by Google. Use this tag for programming questions related to Gmail's APIs."
"google-api","Google offers a variety of APIs, mostly web APIs for web developers. The APIs are based on popular Google consumer products, including Google Maps, Google Earth, AdSense, Adwords, Google Apps and YouTube."
"app-store","App Store is Apple's online digital distribution store of applications, a repository of Apps to run on iOS mobile devices, as well as desktop Mac OS environments.  StackOverflow questions tagged with this perform programmatic interactions with the App Store (such as listing apps or renewing licensing) or relate to engineering an app to conform to Apple's restrictions and requirements for being in the App Store."
"three.js","Three.js is a lightweight cross-browser JavaScript library/API used to create and display animated 3D computer graphics on a Web browser. Three.js scripts may be used in conjunction with the HTML5 canvas element, SVG or WebGL. "
"interop","Interoperability is a requirement for one computer system or programming language to work with another."
"timestamp","A timestamp is the time at which an event is recorded by a computer system. The timestamp term may also refer to Unix Time or to the timestamp data type."
"singleton","The singleton is a design pattern to ensure that exactly one application-wide instance of a particular class exists. 
"
"embedded","Embedded systems are computer systems which are an internal component of a product (that is, embedded within a product) for a specific, usually limited, purpose which includes control, reconfigurability, or translation. Examples include cell phones, digital watches, smart thermostats, automotive engine supervision, firewalls, solar panel controllers, PC keyboards, digital billboards, digital cameras, GPS receivers, traffic signal control and MP3 players."
"full-text-search","Full text search involves searching documents, usually involving unstructured text, as opposed to searching text fields in a structured database."
"touch","Touch-based interfaces have unique considerations that do not apply to other modes of input, and vice versa."
"cmake","CMake is a cross-platform, open-source build system. It generates native makefiles and project files that can be used from the command line or integrated development environment of your choice.
"
"set","A set is a collection in which no element is repeated, which may be able to enumerate its elements according to an ordering criterion (an ""ordered set"") or retain no order (an ""unordered set"")."
"cygwin","Cygwin is a Unix-like environment and command-line interface for Microsoft Windows. Cygwin provides native integration of Windows-based applications, data, and other system resources with applications, software tools, and data of the Unix-like environment. Thus it is possible to launch Windows applications from the Cygwin environment, as well as to use Cygwin tools and applications within the Windows operating context."
"repository","Can refer to the data store of a version control system containing the whole history of a project, or to an object that transfers data between the business layer of an application and its data store."
"jersey","Jersey is the open source, production quality, JAX-RS (JSR 311) Reference Implementation for building RESTful Web services."
"centos","CentOS is a community-supported, mainly free software operating system based on Red Hat Enterprise Linux (RHEL). It exists to provide a free enterprise class computing platform and strives to maintain 100% binary compatibility with its upstream distribution. CentOS stands for Community ENTerprise Operating System."
"save","To store (data) in a computer or on a storage device."
"pyqt","PyQt is a set of Python bindings for Digia's Qt application framework and runs on all platforms supported by Qt including Windows, MacOS/X and Linux."
"twitter-api","The Application Programming Interface (API) for twitter.com"
"in-app-purchase","In-app purchase usually refers to the acquisition of a feature for an application from within the application itself. Also, it can mean the buying of digital goods from an application. The context for this concept is usually mobile development."
"wxpython","wxPython is a Python wrapper for the cross-platform C++ GUI API wxWidgets."
"compression","The name given to the process of encoding data such that it uses lesser number of bits as compared to the original representation."
"asp.net-ajax","A set of extensions to ASP.NET developed by Microsoft for implementing Ajax functionality."
"html5-canvas","Canvas is an HTML element that allows for dynamic, scriptable rendering of 2D shapes, and bitmap images."
"ip","This tag is for questions related to the Internet Protocol. You may want to use the tag [ip-address] instead of or in conjunction with this tag. For questions about intellectual property, use [intellectual-property] instead."
"c++-cli","C++/CLI is an extension of the C++ programming language. It extends the syntax to allow compilation of a mixture of native code and code for Microsoft's Common Language Infrastructure (CLI). It is a replacement for Microsoft's now deprecated Managed Extensions for C++."
"xml-serialization","This tag refers to serialization technologies which use XML as a data format."
"usb","USB is an acronym for Universal Serial Bus, a standard for a serial host-to-device protocol defined by the USB Implementors Forum. "
"db2","DB2 is a family of database servers developed by IBM. Supported platforms for DB2 servers are z/OS (formerly OS/390), Linux, UNIX, and Windows (referred to collectively as DB2 for LUW), and IBM i (formerly OS/400 or i5/OS). Originally designed as a relational engine, IBM has expanded DB2's capabilities on some platforms to include native XML support and an RDF-compliant graph store. When posting DB2 questions, please specify the platform and version."
"zip","Zip is a format for compressed file archives, allowing packaging of multiple files and directories into a single file.  "
"comparison","Questions about data comparison and efficient ways to accomplish it. Please avoid using this tag for generic (meta) comparison of two issues or concepts."
"streaming","Streaming is the process of delivering digital multimedia content from a provider to a consumer over a network. The provider may have the data stored or may be relaying it from a live source."
"webdriver","WebDriver is a tool for writing automated tests of websites. It aims to mimic the behavior of a real user, and as such interacts with the HTML of the application.
Rather than running as a JavaScript application within the browser (with the limitations this brings, such as the ""same origin"" problem), WebDriver controls the browser itself. This means that it can take advantage of any facilities offered by the native platform. "
"stack","A stack is a last in, first out (LIFO) abstract data type and data structure.  Perhaps the most common use of stacks is to store subroutine arguments and return addresses."
"migration","An action of moving between major version of any framework, product or language, or, just as commonly, alteration to the data schema of an application. This might involve modifying existing data to make it work with the new version."
"nested","This tag relates to any of various nested entities or operations in programming."
"pthreads","Pthreads (POSIX Threads) is a standardised C-based API for creating and manipulating threads on a POSIX-compliant system. It is defined by the standard ""POSIX.1c, Threads extensions (IEEE Std 1003.1c-1995)"", and subsequently by the Single Unix Specification."
"alignment","In GUI (inc. web page) context, alignment refers to the positioning of visual elements.
In programming context, alignment is the placement of objects on memory addresses, usually a multiple of some small factor."
"javafx","The JavaFX platform enables developers to create and deploy RIA applications that behave consistently across multiple platforms and browsers. It is built on Java technology. ""javafx"" tag is mostly dedicated for JavaFX 1.3 and older releases, which used JavaFX script language. For newest JavaFX 2+ questions use ""javafx-2"" tag. JavaFx-8 is also available, for that use ""javafx-8"" tag."
"int","The int is a datatype that represents an integer. It only goes up to a value known as the MAX_VALUE or MaxValue, and then it will overflow."
"arguments","An argument is usually defined as the actual value passed to a function, procedure, or command line program. This also refers to the Array-like `arguments` object in JavaScript."
"requirejs","RequireJS is a JavaScript file and module loader. It is optimized for in-browser use, but it can be used in other JavaScript environments, like Rhino and Node."
"sql-update","An SQL UPDATE statement is used to change existing records in a table."
"height","The property which determines the size of an object on the Y-axis.  Please don't use this tag, it has no taxonomic value in your post."
"drawing","Issues around forms and graphics being drawn onto a computer screen, windowing system or device"
"size","Size in computing can refer to various dimensions: size in bits, in bytes, in pixels, in memory, in disk space, etc.  Please don't use this tag in your posts - it's too generic to usefully categorise your question."
"ejb","Enterprise JavaBeans (EJB) is a managed, server-side component architecture for modular construction of enterprise applications. The EJB specification is one of several [Java] APIs in the [Java EE] specification."
"sencha-touch-2","JavaScript framework for mobile devices, UI interface, DataAccess and encapsulation.
"
"devexpress","DevExpress is a component vendor for a variety of controls across different technologies.  They allow for more customization than the standard-issue controls."
"sass","Sass (Syntactically Awesome Stylesheets) is an extension of CSS adding features like nested rules, variables and mixins. This extends the possibility to write structured, manageable and reusable CSS. Sass translates to standard CSS."
"mapping","Corresponding every element of a given set to a unique element of another set"
"elasticsearch","Elasticsearch is an Open Source (Apache 2), Distributed, RESTful, Search Engine built on top of Lucene."
"microsoft","Microsoft Corporation is a company develops, manufactures, licenses, and supports a wide range of products and services predominantly related to computing through its various product divisions. This tag is too general to be useful on most questions; consider using tags more relevant to the software or device you're targeting."
"kernel","This tag is for general questions regarding code that runs in the context of an operating system kernel (kernelspace, as opposed to userspace), including writing custom kernels.  Questions about specific kernels should use a relevant tag (eg. [linux-kernel], [windows-kernel], [xnu]).

This tag is not about other uses of the word ""kernel"" - for example, questions about CUDA kernels should use the [cuda] or [cuda-kernel] tags.
"
"jpanel","JPanel is a container in the Java Swing Framework that allows custom rendering using layout managers. JPanels can be nested for flexibility.  
There is also a jQuery plugin with the same name that provides accordions, tabs, and fieldsets from simple container mark up."
"arduino","Arduino is an open-source electronics prototyping platform."
"queue","A queue is an ordered, first-in-first-out data structure. Typical implementations of queues support pushing elements to the back and popping them off the front position."
"nsarray","An immutable, integer-indexed array of objects from the Apple Foundation framework. "
"mongoose","Mongoose is a MongoDB object modeling tool, written in JavaScript, designed to work in an asynchronous environment. For the embedded web server, use [mongoose-web-server]"
"imagemagick","ImageMagick is an open source software suite for displaying, converting and editing raster image files."
"entity-framework-5","The ADO.NET Entity Framework version 5, containing support for .net 4.5"
"odbc","Open Database Connectivity (ODBC) provides a standard software interface for accessing database management systems (DBMS)."
"uitabbarcontroller","The UITabBarController class implements a specialized iOS view controller that manages a radio-style selection interface."
"registry","The Windows Registry is a database where configuration settings for hardware, software and the Windows operating system itself are saved."
"arm","This tag is used for questions related to the ARM (Advanced RISC Machine) family of processor cores or systems using an ARM core."
"editor","This tag relates to text editors, source code editors and programs specifically designed for modifying plain text files used in computer programming."
"windows-store-apps","Windows Store apps (formerly Metro-style applications) are built on the Windows Runtime (WinRT) and are available on the Windows Store. They target Windows 8 and Windows RT using .NET for Windows Store Apps and are immersive full-screen applications."
"comments","A comment is a programming language construct used to embed non-compiled, programmer-readable annotations in the source code of a computer program."
"xampp","XAMPP is a cross-platform Apache distribution bundled with MySQL, PHP and Perl."
"continuous-integration","In software engineering, continuous integration (CI) implements the continuous building and automated testing of the full software product on a frequent schedule. At least once a day, often several times a day and sometimes as often as after every check in to the version control system."
"tdd","Test-Driven Development (TDD) involves writing a failing automated test to specify what is to be built. The test is then made to pass by writing code which satisfies the tested condition. Finally, the code is refactored."
"gradle","Gradle is a project build automation tool that uses a Groovy DSL. Gradle build scripts support Maven and Ivy repositories as well as plain file system for dependency management."
"css-selectors","Selectors are patterns that match against elements in a document tree. In a CSS rule, they are used to define styles for elements that match the pattern."
"boolean","The Boolean data type represents simple True or False values."
"client-server","The client-server model is a centralized model, in which a server performs a specialized service (such as HTTP, SMTP, etc.) for multiple clients on request."
"geometry","Geometry is a branch of mathematics concerned with questions of shape, size, relative position of figures, and the properties of space."
"sql-server-2012","Use this tag for questions specific to the 2012 version of Microsoft's SQL Server."
"key","A unique identifier used to retrieve a paired value.  Used in hashtables and databases."
"install","Installation (or setup) of a program (including drivers, plugins, etc.) is the act of putting the program onto a computer system so that it can be executed."
"scheme","Scheme is a functional programming language in the Lisp family, closely modelled on lambda calculus with eager (applicative-order) evaluation."
"memcached","Memcached is a simple object cache that caches information in memory, and can be used to improve the performance of dynamic web applications by reducing access time."
"cross-domain","Cross-domain refers to web applications that communicate outside of their hosting domain / web server.  This can be in the form of network requests to other servers or sharing data with DOM components served from different domains composed on the same web page."
"runtime","Runtime is the time during which a program is running (executing)"
"facebook-like","Widget that enables users of Facebook to ""Like"" websites, photos, objects, posts, etc.
"
"broadcastreceiver","BroadcastReceiver is an Android component that responds to system-wide broadcast announcements."
"sinatra","Sinatra is a Domain Specific Language (DSL) for quickly creating web applications in Ruby with minimal effort. It is an alternative to other Ruby web application frameworks such as Ruby on Rails, Merb, Nitro, Camping, and Rango."
"tfs2010","Team Foundation Server 2010 is a complete Application Lifecycle Management (ALM) suite, offered by Microsoft. TFS combines activities such as Source Control Management, Bug Tracking, Requirements Management, Project Management, Build Management, Test Management, Lab Management and Reporting into a single product with strong integration points to the Visual Studio and Microsoft Office product lines.
"
"compare","The analysis required to assess the differences and similarities between two or more entities."
"ckeditor","is a JavaScript based wysiwyg editor created for use within web pages. It is open source and plugin based making it both customizable and extensible. "
"sum","The 'sum' function which returns the sum of the items in an array."
"actionbarsherlock","ActionBarSherlock is an extension of the compatibility library designed to facilitate the use of the action bar design pattern across all versions of Android with a single API."
"ssrs-2008","Microsoft SQL Server 2008 R2 Reporting Services provides a server-based platform designed to support a wide variety of reporting needs enabling organizations to deliver relevant information where needed."
"directx","DirectX is a collection of APIs for handling tasks related to multimedia, especially 3D graphics and game programming and video, on Microsoft platforms."
"themes","Themes and theming can be used to give another look and feel to existing UI and has a close relation to templating. "
"angularjs-directive","In AngularJS directives are a way to teach HTML new tricks by extending the HTML vocabulary. Directives allow you to manage DOM elements in a declarative pattern, freeing you from low level DOM manipulation tasks."
"lisp","Lisp is a (family of) general purpose programming language(s), based on the lambda calculus, and with the ability to manipulate source code as a data structure."
"return","A return statement causes execution to leave the current subroutine and resume at the point in the code immediately after where the subroutine was called, known as its return address. The return address is saved, usually on the process's call stack, as part of the operation of making the subroutine call. Some programming languages allow a function to specify a return value to be passed back to the code that called the function."
"many-to-many","A type of relationship between entities of types A and B which associates a list of entities of type B to an entity of type A and vice versa. Types A and B may be the same type."
"swt","SWT: The Standard Widget Toolkit is a user interface library for Java maintained by the Eclipse Foundation. SWT uses native widgets wherever possible to provide a look and feel consistent with the host platform.

SWT is a third-party library (not included in the JVM) and applications that rely on it must distribute the appropriate library for each target operating system."
"awt","The Abstract Window Toolkit (AWT) is Java's original platform-independent windowing, graphics, and user-interface widget toolkit."
"salesforce","A Platform-as-a-Service development environment delivered on Salesforce.com - the platform is more correctly referred to as Force.com. A dedicated Salesforce Stack Exchange public beta is available for all your Salesforce questions at http://salesforce.stackexchange.com/"
"polymorphism","In computer science, polymorphism is a programming language feature that allows values of different data types to be handled in a uniform manner."
"android-viewpager","A ViewGroup that manages the layout for the child views the user can swipe between."
"web-browser","A web browser is a software application for retrieving, presenting, and traversing information resources on the World Wide Web. (from Wikipedia)"
"video-streaming","Video streaming is the process of delivering a video from a server to a client. This is different from simply downloading the entire video file, as the client is able to watch the video while it's being downloaded."
"export","The export is the automated or semi-automated output of data set from one data format to another. The term refers to both act of exporting and to the result of the action, i.e. exported data set."
"titanium","Titanium is a JavaScript-based SDK allowing developers to create native iOS, Android, hybrid, and mobile web applications."
"tortoisesvn","TortoiseSVN is a Subversion client for Windows, implemented as a shell extension."
"client","A client is an application or system that accesses a service made available by a server."
"maps","A map is a visual representation of an area—a symbolic depiction highlighting relationships between elements of that space such as objects, regions, and themes."
"magento-1.7","Magento 1.7 is a version of the Magento eCommerce platform that was released April 24th 2012. It has had two minor revisions since, with the most recent version being 1.7.0.2 which was released July 5th 2012."
"django-views","Django views are MVC views; they control rendering (typically through templates), and the data displayed."
"width","The property which determines the size of an object on the X-axis.  The most common form of this measurement is in pixels or millimeters."
"scipy","SciPy is an open source library of algorithms and mathematical tools for the Python programming language."
"javafx-2","JavaFX 2 provides a Java-based UI platform for creating standalone or browser-based Rich Client Applications. Its Java API enables Java developers to leverage existing skills and tools. The next version - JavaFX-8 is planned to be released March 18, 2014."
"applescript","AppleScript is an end user scripting language that has been available in Mac computers since System 7 Pro (7.1.1). It allows for automation of system tasks, communication between processes, and creation of workflows, amongst other functions."
"textarea","A <textarea> is an HTML element (tag) used to create a multi-line plain-text editing field."
"licensing","This tag should be used for questions about software that *provides* licensing services, such as a licensing server or client. Don't use this tag to ask for legal advice about licensing."
"duplicates","The ""duplicates"" tag concerns detecting and/or dealing with multiple instances of items in collections."
"phpunit","PHPUnit is the de facto standard for writing unit tests for PHP code."
"jetty","Jetty is a widely used async java based http server and servlet engine supporting WebSockets and SPDY protocols."
"linq-to-xml","LINQ-to-XML provides a SQL-like query experience for navigating, parsing, and aggregating data stored in XML documents."
"sharepoint-2007","SharePoint 2007 is a Server Product from Microsoft. It is a Application Development Framework that helps you to create Web Application in no time. It combines collaboration and web publishing providing rich set of functionalities (Content Management, Search, wiki ,blog etc) all under its stack."
"richfaces","RichFaces is a component library for JSF and an advanced framework for easily integrating AJAX capabilities into business applications."
"windows-xp","Windows XP is a Microsoft graphical operating system edition for use on personal computers, including home and business desktops, laptops, and media centers. It was released on August 24, 2001. The name ""XP"" is short for ""eXPerience.""  This tag is for all flavors of XP, including XP Home Edition, XP Professional, XP x64, Itanium-64, XP Embedded, and XP Tablet."
"pdf-generation","PDF generation is the process of creating a PDF document using various tools or libraries."
"64bit","A 64-bit architecture is usually a system where addresses (pointers) are 64 bits wide. Sometimes, it can mean a system where the “natural” size for integer computations (the word size) is 64 bits."
"certificate","A certificate is an electronic document used in cryptography."
"label","A label is a placeholder for text and other UI elements."
"jms","The Java Message Service (JMS) API is a Java Message Oriented Middleware (MOM) API for sending messages between two or more clients. JMS is a part of the Java Platform, Enterprise Edition, and is defined by a specification developed under the Java Community Process."
"latex","LaTeX is a macro package implemented on Donald Knuth's TeX programming language and is used primarily for creating high quality written documents. Note that http://tex.stackexchange.com is specifically dedicated to LaTeX questions (and TeX, and other related technologies)."
"struts","The Apache Struts web framework is a free open-source solution for creating Java web applications. This framework has reached End Of Life status as of 2013-04-05."
"html-parsing","HTML parsing refers to the process of converting an HTML document to a tree-based Document Object Model (DOM)."
"mongoid","Mongoid is an Object-Document-Mapper (ODM) for MongoDB written in Ruby."
"append","To append is to join or add on to the end of something."
"report","A report contains summarized information from a data source, usually in an end-user-friendly format, such as PDF or Excel, although proprietary reporting tools (usually with built-in design tools) also exist."
"facebook-javascript-sdk","Facebook's JavaScript SDK provides a rich set of client-side functionality for accessing Facebook's server-side API calls. It can collaborate with any SDK like PHP, C#, Java, android, ios, etc "
"progress-bar","A progress bar is a component in a graphical user interface used to convey the progress of a task, such as a download or file transfer."
"nunit","NUnit is an open source unit testing framework for Microsoft .NET and Silverlight written in C#. It serves the same purpose as JUnit does in the Java world, and is one of many in the xUnit family."
"dynamics-crm-2011","Microsoft Dynamics CRM is a multi-lingual Customer Relationship Management software package developed by Microsoft. Out of the box, the product focuses mainly on Sales, Marketing, and Service (help desk) sectors, but Microsoft has been marketing Dynamics CRM as an XRM platform and has been encouraging partners to use its proprietary (.NET based) framework to customize it to meet many different demands."
"profiling","Profiling is the process of measuring an application or system by running an analysis tool called a profiler. Profiling tools can focus on many aspects: functions call times and count, memory usage, cpu load, and resource usage. "
"windows-mobile","Windows Mobile is a mobile operating system developed by Microsoft that was used in smartphones and mobile devices, but is being currently phased out to specialized markets. It is superseded by Windows Phone 7."
"hex","Hexadecimal (also base 16, or hex) is the base-16 positional numeral system, using the 16 symbols 0–9 and A‒F."
"tooltip","Tooltips are a GUI (Graphical User Interface) element which typically pops up when the mouse pointer is hovering over an item in the GUI and provides some contextual information or clarification."
"mkmapview","MKMapView is part of Apple's Map Kit framework for developing location-aware iOS applications, and provides an embeddable map interface. Effective iOS 6, the Map Kit framework uses Apple's own map service. In iOS 5.1 and earlier, the framework uses the Google Mobile Maps service."
